"beach" "lon" "lat"
1 3.161042 42.427332
2 3.156055 42.406301
3 3.153229 42.393786
4 3.155931 42.380859
5 3.160256 42.371567
6 3.163542 42.364871
7 3.163107 42.360855
8 3.186309 42.343141
9 3.201766 42.336207
10 3.201754 42.344114
11 3.209682 42.344028
12 3.287582 42.284526
13 3.278684 42.288285
14 3.275768 42.284312
15 3.228211 42.250958
16 3.207217 42.240596
17 3.19645 42.246874
18 3.182011 42.250402
19 3.178254 42.259369
20 3.170739 42.264496
21 3.15367 42.261161
22 3.139937 42.252019
23 3.130983 42.242501
24 3.126488 42.23739
25 3.111815 42.205514
26 3.110914 42.188799
27 3.113155 42.16221
28 3.11458 42.153671
29 3.119599 42.138598
30 3.121974 42.133732
31 3.124575 42.127722
32 3.133502 42.126622
33 3.139079 42.115276
34 3.169046 42.107796
35 3.199576 42.050619
36 3.196886 42.044202
37 3.196357 42.041257
38 3.195558 42.013014
39 3.198538 42.000607
40 3.206354 41.983102
41 3.207964 41.980757
42 3.210151 41.977718
43 3.211198 41.973059
44 3.229825 41.960504
45 3.217404 41.941794
46 3.216196 41.93406
47 3.207723 41.917782
48 3.194337 41.893641
49 3.187607 41.888626
50 3.185075 41.888252
51 3.178564 41.87903
52 3.177203 41.87053
53 3.173623 41.865825
54 3.156348 41.862508
55 3.142467 41.856383
56 3.14021 41.849298
57 3.120524 41.84805
58 3.115597 41.848055
59 3.105648 41.848695
60 3.095275 41.839418
61 3.087302 41.831336
62 3.074165 41.822041
63 3.06654 41.808473
64 3.066564 41.808518
65 3.061053 41.798055
66 3.048047 41.789955
67 3.048023 41.789964
68 3.030976 41.780089
69 2.983401 41.760547
70 2.976762 41.757294
71 2.966458 41.747888
72 2.954197 41.737301
73 2.937821 41.72199
74 2.934193 41.71952
75 2.932526 41.715871
76 2.902565 41.709995
77 2.882598 41.704113
78 2.85256 41.699638
79 2.846737 41.697297
80 2.833825 41.694334
81 2.824149 41.690609
82 2.818041 41.687762
83 2.807494 41.678612
84 2.793117 41.673579
85 2.787882 41.668777
86 2.78345 41.661356
87 2.776621 41.649589
88 2.747717 41.642738
89 2.731004 41.636701
90 2.714805 41.628844
91 2.701093 41.624143
92 2.691936 41.621057
93 2.663628 41.612384
94 2.654806 41.610241
95 2.644863 41.606897
96 2.629909 41.602859
97 2.624352 41.600905
98 2.616138 41.597869
99 2.608439 41.595042
100 2.602701 41.593617
101 2.58805 41.587981
102 2.575792 41.583694
103 2.566567 41.580093
104 2.552907 41.577834
105 2.540724 41.573715
106 2.529809 41.568734
107 2.525444 41.567032
108 2.518103 41.563867
109 2.500723 41.556308
110 2.460273 41.542119
111 2.456056 41.538865
112 2.450838 41.535003
113 2.405867 41.507956
114 2.397469 41.503922
115 2.387389 41.499086
116 2.374807 41.493055
117 2.355598 41.487572
118 2.329183 41.480693
119 2.320707 41.479175
120 2.304056 41.474878
121 2.287061 41.468324
122 2.259394 41.453936
123 2.251205 41.446587
124 2.245565 41.439497
125 2.234681 41.422428
126 2.231817 41.41669
127 2.2179 41.403751
128 2.215218 41.401895
129 2.211842 41.398152
130 2.202759 41.390559
131 2.202476 41.390269
132 2.194986 41.382696
133 2.193696 41.38066
134 2.191217 41.376067
135 2.189833 41.372931
136 2.094793 41.283021
137 2.066176 41.274992
138 2.045778 41.270411
139 2.042798 41.270098
140 2.026561 41.266827
141 2.026371 41.268393
142 1.993059 41.263918
143 1.975378 41.263951
144 1.964347 41.264033
145 1.947912 41.263758
146 1.933475 41.261823
147 1.904609 41.254067
148 1.827987 41.236243
149 1.820467 41.235707
150 1.814794 41.236018
151 1.808058 41.234336
152 1.800378 41.232167
153 1.792077 41.228054
154 1.789222 41.226294
155 1.737131 41.216394
156 1.724256 41.21355
157 1.716938 41.21137
158 1.710644 41.209957
159 1.686126 41.204294
160 1.6798 41.201573
161 1.658012 41.1968
162 1.635034 41.193845
163 1.622163 41.191764
164 1.57099 41.186475
165 1.57099 41.186475
166 1.569126 41.187199
167 1.569126 41.187199
168 1.588304 41.188679
169 1.554636 41.185154
170 1.528522 41.181013
171 1.528309 41.181443
172 1.51851 41.17612
173 1.518434 41.17947
174 1.488895 41.170484
175 1.480024 41.168511
176 1.466084 41.165633
177 1.450018 41.158987
178 1.442174 41.156035
179 1.419621 41.146297
180 1.413467 41.143537
181 1.405971 41.13965
182 1.381963 41.134289
183 1.362317 41.130454
184 1.34686 41.127828
185 1.312047 41.129386
186 1.303831 41.128761
187 1.285009 41.122807
188 1.276192 41.118775
189 1.255197 41.111884
190 1.193323 41.088519
191 1.185737 41.079519
192 1.179229 41.067724
193 1.167807 41.056455
194 1.161731 41.059268
195 1.154949 41.065212
196 1.148564 41.068398
197 1.141037 41.072789
198 1.136696 41.073512
199 1.125636 41.074837
200 1.114005 41.072404
201 1.10028 41.069152
202 1.092093 41.066621
203 1.080142 41.064224
204 1.06962 41.065904
205 1.052196 41.064305
206 1.046553 41.063191
207 1.034595 41.05789
208 1.029337 41.055854
209 1.005465 41.044887
210 0.977439 41.035013
211 0.857736 40.939128
212 0.951912 41.016583
213 0.936135 40.999278
214 0.930892 40.990915
215 0.915747 40.987543
216 0.893294 40.969922
217 0.85802 40.93916
218 0.84171 40.922768
219 0.831722 40.912979
220 0.825217 40.908227
221 0.807592 40.886113
222 0.805381 40.884783
223 0.751538 40.846067
224 0.74164 40.827724
225 0.740819 40.825366
226 0.73162 40.821447
227 0.714999 40.81276
228 0.700875 40.797752
229 0.798013 40.761788
230 0.820378 40.740063
231 0.83327 40.732181
232 0.85422 40.684174
233 0.814438 40.66534
234 0.792695 40.656747
235 0.785194 40.652856
236 0.739245 40.623438
237 0.737555 40.624486
238 0.592677 40.613584
239 0.58377 40.606219
240 0.546288 40.572758
241 0.539846 40.568684
242 0.529566 40.550468
243 0.524359 40.545321
244 9.932405 37.274019
245 9.876686 37.268713
246 9.842777 37.333055
247 9.866666 37.319722
248 9.878333 37.281111
249 9.886388 37.265
250 9.910277 37.254444
251 10.06638 37.263611
252 10.08916 37.24
253 10.19194 37.205833
254 10.20888 37.193055
255 10.25388 37.17
256 10.67038 35.798533
257 10.63905 35.83495
258 10.6323 35.8407166
259 10.62916 35.843333
260 10.61115 35.867466
261 10.60041 35.889033
262 10.57021 35.927833
263 10.55045 35.948166
264 10.52873 35.981516
265 10.52161 36.0039
266 10.84115 35.762433
267 10.84003 35.771883
268 10.83558 35.773933
269 10.83389 35.777288
270 10.81941 35.780266
271 10.7893 35.7785
272 10.77203 35.773333
273 10.73365 35.765416
274 10.73460 35.765175
275 10.68722 35.786111
276 10.64297 35.824388
277 10.52161 36.0039
278 10.17916 37.211111
279 9.846388 37.332222
280 9.896388 37.261666
