beach,lat,lon
0,35.49849722,12.59983889
1,35.49902222,12.59998611
2,35.49903611,12.59239444
3,35.49916944,12.59960833
4,35.49931944,12.6005
5,35.50111389,12.60981667
6,35.50120833,12.59296389
7,35.50163611,12.59328889
8,35.5025,12.60411667
9,35.50316667,12.59051667
10,35.503325,15.40989722
11,35.50338333,12.59069444
12,35.50491667,12.62278611
13,35.50862222,12.59291944
14,35.51127222,12.55975556
15,35.511775,12.62340278
16,35.51193056,12.55648611
17,35.51238611,12.55677778
18,35.51251111,12.55400556
19,35.513075,12.55829722
20,35.51334722,12.55726667
21,35.514125,12.55696389
22,35.51478611,12.62745
23,35.51502778,12.55188611
24,35.51561944,12.62589444
25,35.78742222,10.84508056
26,35.86327222,14.56858333
27,35.91929722,15.45503611
28,35.93388333,14.34447222
29,35.95808611,14.41120833
30,35.96118611,14.40955
31,35.97158333,14.35445278
32,35.97334444,14.37351389
33,35.983175,14.41845833
34,35.98824167,14.32935833
35,36.01910833,15.89664444
36,36.01925278,14.28938611
37,36.01956667,14.28930833
38,36.02020278,15.84086389
39,36.03549167,14.21429444
40,36.0466,14.19127222
41,36.04694444,14.25894722
42,36.10688333,10.91766389
43,36.12506667,10.599375
44,36.13958056,12.52813333
45,36.39599167,10.61116111
46,36.64460833,15.07751389
47,36.67349722,15.14001111
48,36.67578889,14.93265278
49,36.68169722,15.13738056
50,36.71260833,14.71945556
51,36.71937222,14.90106944
52,36.72676389,14.8496
53,36.72702222,14.84992778
54,36.72748056,14.85048889
55,36.72781389,14.85120278
56,36.72805278,14.85224722
57,36.73264444,14.67910278
58,36.73891944,12.03341111
59,36.74144722,11.97162778
60,36.74241667,11.98910556
61,36.74257778,11.98764444
62,36.743025,14.16111944
63,36.74458611,11.98473611
64,36.74916111,14.62080833
65,36.75210556,11.97861667
66,36.75708056,15.11162222
67,36.76214722,11.96924722
68,36.76263611,14.55175833
69,36.76382778,11.97280278
70,36.76434167,14.64074722
71,36.76535278,11.97037778
72,36.76606944,14.60865
73,36.76642778,11.96787222
74,36.767825,11.96465833
75,36.76798333,11.96354444
76,36.78480278,14.55028611
77,36.78583333,14.50905
78,36.78676667,14.51247778
79,36.79392222,14.45971667
80,36.79806111,10.50079444
81,36.80555278,12.03889444
82,36.80652778,12.03581111
83,36.80770278,12.03988611
84,36.80931111,12.04099167
85,36.82078611,12.02638889
86,36.82248056,12.00133056
87,36.82318889,11.99145
88,36.82335833,11.98949444
89,36.82562778,12.00058611
90,36.82570556,11.99048333
91,36.82904444,11.94362778
92,36.82927778,11.93285
93,36.83160833,11.91565
94,36.83407222,11.94296944
95,36.85411944,15.11472222
96,36.85589444,15.11535833
97,36.85916389,15.119825
98,36.882275,14.43675
99,36.89063333,15.14108611
100,36.89437778,14.42466389
101,36.89953889,14.41368611
102,36.90708333,10.46490833
103,36.90981667,15.13442778
104,36.96210556,15.20748056
105,36.96355833,15.21272778
106,36.99791389,15.26525833
107,37.00308611,15.31377222
108,37.02261389,15.28325556
109,37.054225,15.29663611
110,37.06393333,14.24488056
111,37.06435833,14.24391111
112,37.06470278,14.24312222
113,37.06645556,15.28442778
114,37.06746111,15.29443611
115,37.06905278,15.29356944
116,37.06982222,15.29410556
117,37.07486111,15.29803333
118,37.08048611,15.30311111
119,37.08495278,17.84864444
120,37.08643333,15.30106111
121,37.08782222,15.30032778
122,37.08903889,15.29978611
123,37.08941944,13.92557222
124,37.09303611,15.30018056
125,37.093575,13.92208333
126,37.09455556,13.93674722
127,37.12126944,13.76403333
128,37.20831111,15.19819444
129,37.22265833,15.22401389
130,37.22793889,15.22569167
131,37.23374722,15.21899722
132,37.25983333,13.58902222
133,37.26854444,9.856363889
134,37.28442222,13.55560278
135,37.28478611,13.544375
136,37.28653611,13.52685278
137,37.28905,13.51474444
138,37.29058889,13.47246667
139,37.29358611,13.45676111
140,37.29405833,13.46591111
141,37.29409167,13.46491111
142,37.29421944,13.46158611
143,37.29693333,13.44187222
144,37.31111667,9.503488889
145,37.31165556,9.457222222
146,37.32698056,13.40926111
147,37.337125,13.38601667
148,37.34568333,13.33928056
149,37.34577778,13.35258889
150,37.37788611,15.16341944
151,37.41191111,13.22080833
152,37.44411111,8.817094444
153,37.45768889,13.21765833
154,37.46519167,15.08663333
155,37.47526667,15.12786111
156,37.47883056,15.08529444
157,37.47993889,9.143744444
158,37.49658889,13.11547778
159,37.50324167,13.08703056
160,37.50359444,15.72438611
161,37.50378056,15.09985833
162,37.50481389,13.06619167
163,37.50498333,9.069075
164,37.50566111,15.10328056
165,37.50568889,13.08046944
166,37.50666111,15.14858333
167,37.50919444,15.10550833
168,37.51875556,15.10895833
169,37.53104444,12.74293333
170,37.54876944,15.14599167
171,37.553425,15.14876944
172,37.55432778,12.95115556
173,37.55538056,15.15058889
174,37.55556111,15.14665278
175,37.55594444,15.14864722
176,37.55602222,15.14859444
177,37.55604722,15.17281389
178,37.55605278,15.14887222
179,37.55608333,15.14856111
180,37.55608611,15.14865278
181,37.55665556,15.15039722
182,37.563575,12.96043611
183,37.56432778,12.95889444
184,37.56569167,12.95717778
185,37.56686111,12.95543056
186,37.56750278,12.95346111
187,37.56761111,12.95092778
188,37.56790278,12.95281389
189,37.56818056,12.73847778
190,37.56848611,12.95038333
191,37.56936667,12.731075
192,37.57240833,12.79332222
193,37.57417778,12.74582222
194,37.57496111,12.90921667
195,37.575025,12.80631111
196,37.57537778,12.90410278
197,37.57722778,12.78649722
198,37.58219167,12.76397778
199,37.58237222,12.79436111
200,37.60502778,8.163436111
201,37.60794167,9.0298
202,37.60801944,15.17293056
203,37.61350278,15.17458611
204,37.61409722,10.16136944
205,37.61993056,15.17773056
206,37.62010278,10.04505556
207,37.64803056,12.58878611
208,37.6485,12.59172222
209,37.65104167,12.59028333
210,37.66172778,12.54958056
211,37.66218333,18.4304
212,37.67825556,12.47583889
213,37.70429722,12.47449167
214,37.704825,12.46494722
215,37.707225,12.46609167
216,37.70888889,12.50111667
217,37.73485833,15.22303889
218,37.74147778,15.21659722
219,37.77938333,20.90673056
220,37.78130833,12.44697778
221,37.78303611,12.44425556
222,37.78474722,12.44528889
223,37.78475833,8.421605556
224,37.78591389,9.063305556
225,37.79908333,12.43423333
226,37.80429444,15.25888056
227,37.80748056,12.42655
228,37.81449444,15.275875
229,37.82314444,15.273875
230,37.83187778,15.98621944
231,37.84727778,15.28666667
232,37.84735,15.28737222
233,37.84745,15.2882
234,37.84758889,8.372861111
235,37.84758889,8.373502778
236,37.84759444,15.28868333
237,37.84760833,17.23005
238,37.8477,15.28779722
239,37.84786667,15.28773889
240,37.85306667,15.28791667
241,37.85698333,15.30106667
242,37.86528611,15.2987
243,37.87443611,12.43259444
244,37.87530556,15.30450556
245,37.87615278,12.34075278
246,37.876225,15.30620278
247,37.87711667,12.47694167
248,37.87718333,15.30579167
249,37.87766111,15.30716111
250,37.87773611,15.30944722
251,37.87821389,15.30642778
252,37.87945278,10.19273889
253,37.87945278,15.30569167
254,37.88029722,12.10928333
255,37.90612222,15.34945278
256,37.90844167,12.36103333
257,37.90861944,12.3378
258,37.909025,12.36201111
259,37.91341389,12.34588056
260,37.91376667,15.89396667
261,37.91787778,12.33711389
262,37.91791111,12.33546389
263,37.91870278,12.33305278
264,37.91916667,12.33489722
265,37.91923611,12.32039167
266,37.91938056,12.33155
267,37.91945,12.33335278
268,37.91951389,12.33744444
269,37.91951944,12.33650278
270,37.91985278,12.302875
271,37.91995833,12.32059167
272,37.92008889,12.32016944
273,37.92021944,12.32051389
274,37.92200833,15.34851667
275,37.92239444,15.86286111
276,37.92247222,12.364525
277,37.92265,12.36226111
278,37.92299444,12.3619
279,37.92443889,15.92446667
280,37.92459444,9.618205556
281,37.92940556,12.324875
282,37.92958333,12.32438889
283,37.92965278,12.32526944
284,37.92969167,15.877625
285,37.93124167,12.32971111
286,37.93166111,12.45445556
287,37.9341,12.3281
288,37.93582222,12.334875
289,37.93701389,12.32988056
290,37.93736667,15.37061389
291,37.94186389,15.36246389
292,37.94323889,12.18336111
293,37.94331944,15.69475
294,37.94351111,12.327425
295,37.9477,12.29624444
296,37.94922778,12.29781667
297,37.95066111,12.49034444
298,37.95168056,8.338502778
299,37.95431111,15.38371111
300,37.95806944,15.38442222
301,37.96014722,15.42051111
302,37.962325,15.39153333
303,37.96461667,12.04308889
304,37.96666667,12.26666667
305,37.96672778,12.07448333
306,37.96846389,12.0731
307,37.96986667,12.07749167
308,37.96988333,17.12202778
309,37.97247222,12.07344167
310,37.97831667,15.64376389
311,37.98703611,12.34018611
312,37.9888,15.41941389
313,37.98979444,15.41231667
314,37.99330278,12.493525
315,37.99605556,15.41293611
316,37.99607778,13.66091667
317,37.99835278,13.65281111
318,37.99937222,13.88199722
319,38.00015,13.66210833
320,38.00205278,16.14004444
321,38.002225,13.67128056
322,38.00428333,15.63969722
323,38.00873611,16.13419167
324,38.01101389,14.25530556
325,38.01308056,14.32028056
326,38.01365278,16.14035556
327,38.01858889,12.51463333
328,38.01928611,13.66181667
329,38.01973333,14.25676944
330,38.02220278,13.92715833
331,38.02281944,12.32205556
332,38.02478056,14.36253611
333,38.02506944,12.8977
334,38.02511944,9.529322222
335,38.0252,12.90019722
336,38.026025,12.91442222
337,38.02624722,12.52110556
338,38.02628611,13.85353333
339,38.02651667,12.90396111
340,38.02655556,12.52446111
341,38.02747222,8.308644444
342,38.02748056,12.92141944
343,38.02758889,12.89521389
344,38.02772778,12.89606389
345,38.03055833,12.93531944
346,38.03215,12.89867222
347,38.03388333,12.51113611
348,38.03407778,13.98322222
349,38.03475278,14.01189722
350,38.03588333,8.511716667
351,38.03623333,14.01463056
352,38.03683889,14.04338333
353,38.0396,14.13128889
354,38.03988611,13.98320278
355,38.04236389,12.94914444
356,38.04308333,13.96625556
357,38.04453611,18.44558333
358,38.04861667,14.01233611
359,38.04913056,13.55426667
360,38.05074167,12.99851944
361,38.05247222,14.03543889
362,38.06033056,13.54238611
363,38.06153333,12.54063333
364,38.06223333,14.58135556
365,38.066625,10.75412778
366,38.06842778,12.60455833
367,38.06858611,12.60671667
368,38.06888333,8.353947222
369,38.07082778,16.1608
370,38.07318889,14.63052778
371,38.075175,13.02174722
372,38.077275,12.93494444
373,38.07884167,13.54882222
374,38.08025278,9.213791667
375,38.08225278,13.53903889
376,38.08259167,14.45303056
377,38.08318889,13.53931111
378,38.08816111,12.60241667
379,38.09140556,16.15747222
380,38.09263333,12.66112778
381,38.09448056,20.60793333
382,38.09569444,16.15899167
383,38.09713333,12.6488
384,38.09814722,12.63100278
385,38.09978333,16.15941111
386,38.11196111,13.38061111
387,38.11214444,12.6172
388,38.11260278,14.36496389
389,38.11276111,15.63966111
390,38.11365,13.47315833
391,38.11370278,15.63548889
392,38.11465,15.64438611
393,38.11546111,13.38769444
394,38.11711111,12.84018889
395,38.12091667,15.61980278
396,38.12318611,13.38025556
397,38.12359167,15.63572778
398,38.12405,13.40150556
399,38.12422778,12.70474722
400,38.12525833,15.10294444
401,38.12838056,15.08734722
402,38.12864167,21.06455278
403,38.13208056,13.37760278
404,38.13239444,15.0611
405,38.13259444,15.09003611
406,38.13431667,13.44364167
407,38.13557222,11.58070833
408,38.13753333,15.06245833
409,38.13920833,16.195325
410,38.13928889,15.05743611
411,38.14319722,15.13933333
412,38.14703333,12.72698333
413,38.15086111,10.53331944
414,38.15359722,14.97741111
415,38.15435,14.96935278
416,38.156475,14.73588889
417,38.15657222,14.82668333
418,38.15715,14.73694167
419,38.15729722,14.73543056
420,38.15765556,13.07797778
421,38.16004167,13.07739444
422,38.16040556,9.655725
423,38.16042778,13.08525833
424,38.16051944,15.18155278
425,38.16065833,13.08311944
426,38.16097778,14.73746389
427,38.16152778,9.607377778
428,38.1616,8.510541667
429,38.16196944,14.97753333
430,38.16200278,13.08245833
431,38.16267222,14.73061944
432,38.16326389,13.06293056
433,38.16340556,14.74611389
434,38.16429167,14.82916389
435,38.16468611,14.83008611
436,38.16777222,12.76890278
437,38.16835,14.85355833
438,38.16915,14.82985
439,38.16917778,8.28825
440,38.16937222,14.84664444
441,38.16957778,14.96123611
442,38.17108333,15.13573056
443,38.17419167,14.85310833
444,38.17490833,10.30058333
445,38.17533611,13.17575556
446,38.17571667,15.63605556
447,38.17606389,7.661102778
448,38.17626389,12.73843056
449,38.17640278,12.73785556
450,38.17646111,12.74131667
451,38.17650556,12.74112778
452,38.17655278,14.75050833
